Id;Measure;Perioden;Value;StringValue;ValueAttribute
727;M000239;1990JJ00;;;Impossible
728;M000238;1991MM01;3,2;;None
729;M000239;1991MM01;;;Impossible
730;M000238;1991MM02;2,9;;None
731;M000239;1991MM02;;;Impossible
732;M000238;1991MM03;3,2;;None
733;M000239;1991MM03;;;Impossible
734;M000238;1991MM04;3,1;;None
735;M000239;1991MM04;;;Impossible
736;M000238;1991MM05;3,2;;None
737;M000239;1991MM05;;;Impossible
738;M000238;1991MM06;3,4;;None
739;M000239;1991MM06;;;Impossible
740;M000238;1991MM07;4,5;;None
741;M000239;1991MM07;;;Impossible
742;M000238;1991MM08;4,6;;None
743;M000239;1991MM08;;;Impossible
744;M000238;1991MM09;4,4;;None
745;M000239;1991MM09;;;Impossible
746;M000238;1991MM10;4,5;;None
747;M000239;1991MM10;;;Impossible
748;M000238;1991MM11;4,8;;None
749;M000239;1991MM11;;;Impossible
750;M000238;1991MM12;4,9;;None
751;M000239;1991MM12;;;Impossible
752;M000238;1991JJ00;3,9;;None
753;M000239;1991JJ00;;;Impossible
754;M000238;1992MM01;4,1;;None
755;M000239;1992MM01;;;Impossible
756;M000238;1992MM02;4,4;;None
757;M000239;1992MM02;;;Impossible
758;M000238;1992MM03;4,2;;None
759;M000239;1992MM03;;;Impossible
760;M000238;1992MM04;4,4;;None
761;M000239;1992MM04;;;Impossible
762;M000238;1992MM05;4,2;;None
763;M000239;1992MM05;;;Impossible
764;M000238;1992MM06;4;;None
765;M000239;1992MM06;;;Impossible
766;M000238;1992MM07;3,1;;None
767;M000239;1992MM07;;;Impossible
768;M000238;1992MM08;3,5;;None
769;M000239;1992MM08;;;Impossible
770;M000238;1992MM09;3,4;;None
771;M000239;1992MM09;;;Impossible
772;M000238;1992MM10;3;;None
773;M000239;1992MM10;;;Impossible
774;M000238;1992MM11;2,9;;None
775;M000239;1992MM11;;;Impossible
776;M000238;1992MM12;2,6;;None
777;M000239;1992MM12;;;Impossible
778;M000238;1992JJ00;3,7;;None
779;M000239;1992JJ00;;;Impossible
780;M000238;1993MM01;2,5;;None
781;M000239;1993MM01;;;Impossible
782;M000238;1993MM02;2,4;;None
783;M000239;1993MM02;;;Impossible
784;M000238;1993MM03;2,3;;None
785;M000239;1993MM03;;;Impossible
786;M000238;1993MM04;2,3;;None
787;M000239;1993MM04;;;Impossible
788;M000238;1993MM05;2,3;;None
789;M000239;1993MM05;;;Impossible
790;M000238;1993MM06;2,1;;None
791;M000239;1993MM06;;;Impossible
792;M000238;1993MM07;2,2;;None
793;M000239;1993MM07;;;Impossible
794;M000238;1993MM08;2;;None
795;M000239;1993MM08;;;Impossible
796;M000238;1993MM09;1,8;;None
797;M000239;1993MM09;;;Impossible
798;M000238;1993MM10;1,9;;None
799;M000239;1993MM10;;;Impossible
800;M000238;1993MM11;1,7;;None
801;M000239;1993MM11;;;Impossible
802;M000238;1993MM12;1,7;;None
803;M000239;1993MM12;;;Impossible
804;M000238;1993JJ00;2,1;;None
805;M000239;1993JJ00;;;Impossible
806;M000238;1994MM01;2,4;;None
807;M000239;1994MM01;;;Impossible
808;M000238;1994MM02;3;;None
809;M000239;1994MM02;2,5;;None
810;M000238;1994MM03;2,9;;None
811;M000239;1994MM03;2,5;;None
812;M000238;1994MM04;2,8;;None
813;M000239;1994MM04;2,3;;None
814;M000238;1994MM05;2,9;;None
815;M000239;1994MM05;2,5;;None
816;M000238;1994MM06;3;;None
817;M000239;1994MM06;2,6;;None
818;M000238;1994MM07;2,7;;None
819;M000239;1994MM07;2,3;;None
820;M000238;1994MM08;2,6;;None
821;M000239;1994MM08;2,1;;None
822;M000238;1994MM09;2,7;;None
823;M000239;1994MM09;2,4;;None
824;M000238;1994MM10;2,8;;None
825;M000239;1994MM10;2,4;;None
826;M000238;1994MM11;2,5;;None
827;M000239;1994MM11;2,2;;None
828;M000238;1994MM12;2,6;;None
829;M000239;1994MM12;2,2;;None
830;M000238;1994JJ00;2,7;;None
831;M000239;1994JJ00;2,4;;None
832;M000238;1995MM01;2,4;;None
833;M000239;1995MM01;2,3;;None
834;M000238;1995MM02;2,4;;None
835;M000239;1995MM02;2,2;;None
836;M000238;1995MM03;2,3;;None
837;M000239;1995MM03;2,2;;None
838;M000238;1995MM04;2,3;;None
839;M000239;1995MM04;2,2;;None
840;M000238;1995MM05;2,1;;None
841;M000239;1995MM05;2;;None
842;M000238;1995MM06;2,1;;None
843;M000239;1995MM06;2;;None
844;M000238;1995MM07;1,8;;None
845;M000239;1995MM07;1,7;;None
846;M000238;1995MM08;1,5;;None
847;M000239;1995MM08;1,4;;None
848;M000238;1995MM09;1,5;;None
849;M000239;1995MM09;1,4;;None
850;M000238;1995MM10;1,3;;None
851;M000239;1995MM10;1,3;;None
852;M000238;1995MM11;1,6;;None
853;M000239;1995MM11;1,5;;None
854;M000238;1995MM12;1,7;;None
855;M000239;1995MM12;1,5;;None
856;M000238;1995JJ00;2;;None
857;M000239;1995JJ00;1,8;;None
858;M000238;1996MM01;1,9;;None
859;M000239;1996MM01;1,4;;None
860;M000238;1996MM02;1,8;;None
861;M000239;1996MM02;1,3;;None
862;M000238;1996MM03;2;;None
863;M000239;1996MM03;1,5;;None
864;M000238;1996MM04;2;;None
865;M000239;1996MM04;1,5;;None
866;M000238;1996MM05;2;;None
867;M000239;1996MM05;1,5;;None
868;M000238;1996MM06;1,8;;None
869;M000239;1996MM06;1,3;;None
870;M000238;1996MM07;2,2;;None
871;M000239;1996MM07;1,6;;None
872;M000238;1996MM08;1,9;;None
873;M000239;1996MM08;1,3;;None
874;M000238;1996MM09;2;;None
875;M000239;1996MM09;1,5;;None
876;M000238;1996MM10;2,4;;None
877;M000239;1996MM10;2;;None
878;M000238;1996MM11;2,3;;None
879;M000239;1996MM11;1,9;;None
880;M000238;1996MM12;2,5;;None
881;M000239;1996MM12;2,1;;None
882;M000238;1996JJ00;2,1;;None
883;M000239;1996JJ00;1,5;;None
884;M000238;1997MM01;2,3;;None
885;M000239;1997MM01;2,3;;None
886;M000238;1997MM02;2,2;;None
887;M000239;1997MM02;2,1;;None
888;M000238;1997MM03;2;;None
889;M000239;1997MM03;1,8;;None
890;M000238;1997MM04;1,8;;None
891;M000239;1997MM04;1,7;;None
892;M000238;1997MM05;2,2;;None
893;M000239;1997MM05;2;;None
894;M000238;1997MM06;2,2;;None
895;M000239;1997MM06;2,1;;None
896;M000238;1997MM07;2,3;;None
897;M000239;1997MM07;2,1;;None
898;M000238;1997MM08;2,6;;None
899;M000239;1997MM08;2,5;;None
900;M000238;1997MM09;2,6;;None
901;M000239;1997MM09;2,4;;None
902;M000238;1997MM10;2,3;;None
903;M000239;1997MM10;2,2;;None
904;M000238;1997MM11;2,5;;None
905;M000239;1997MM11;2,3;;None
906;M000238;1997MM12;2,3;;None
907;M000239;1997MM12;2,1;;None
908;M000238;1997JJ00;2,2;;None
909;M000239;1997JJ00;2;;None
910;M000238;1998MM01;1,8;;None
911;M000239;1998MM01;1,6;;None
912;M000238;1998MM02;2,2;;None
913;M000239;1998MM02;2;;None
914;M000238;1998MM03;2,3;;None
915;M000239;1998MM03;2,1;;None
916;M000238;1998MM04;2,4;;None
917;M000239;1998MM04;2,2;;None
918;M000238;1998MM05;2;;None
919;M000239;1998MM05;1,9;;None
920;M000238;1998MM06;2,2;;None
921;M000239;1998MM06;2;;None
922;M000238;1998MM07;2;;None
923;M000239;1998MM07;1,8;;None
924;M000238;1998MM08;1,7;;None
925;M000239;1998MM08;1,5;;None
926;M000238;1998MM09;1,7;;None
927;M000239;1998MM09;1,4;;None
928;M000238;1998MM10;1,9;;None
929;M000239;1998MM10;1,6;;None
930;M000238;1998MM11;1,7;;None
931;M000239;1998MM11;1,5;;None
932;M000238;1998MM12;1,7;;None
933;M000239;1998MM12;1,5;;None
934;M000238;1998JJ00;2;;None
935;M000239;1998JJ00;1,7;;None
936;M000238;1999MM01;2,2;;None
937;M000239;1999MM01;1,7;;None
938;M000238;1999MM02;2,1;;None
939;M000239;1999MM02;1,6;;None
940;M000238;1999MM03;2,2;;None
941;M000239;1999MM03;1,6;;None
942;M000238;1999MM04;2,2;;None
943;M000239;1999MM04;1,7;;None
944;M000238;1999MM05;2,3;;None
945;M000239;1999MM05;1,8;;None
946;M000238;1999MM06;2,3;;None
947;M000239;1999MM06;1,8;;None
948;M000238;1999MM07;2,1;;None
949;M000239;1999MM07;1,5;;None
950;M000238;1999MM08;2,6;;None
951;M000239;1999MM08;2,1;;None
952;M000238;1999MM09;2,2;;None
953;M000239;1999MM09;1,7;;None
954;M000238;1999MM10;2,1;;None
955;M000239;1999MM10;1,5;;None
956;M000238;1999MM11;2,2;;None
957;M000239;1999MM11;1,7;;None
958;M000238;1999MM12;2,2;;None
959;M000239;1999MM12;1,7;;None
960;M000238;1999JJ00;2,2;;None
961;M000239;1999JJ00;1,7;;None
962;M000238;2000MM01;2;;None
963;M000239;2000MM01;1,5;;None
964;M000238;2000MM02;2;;None
965;M000239;2000MM02;1,6;;None
966;M000238;2000MM03;1,9;;None
967;M000239;2000MM03;1,7;;None
968;M000238;2000MM04;2,1;;None
969;M000239;2000MM04;1,7;;None
970;M000238;2000MM05;2,4;;None
971;M000239;2000MM05;2;;None
972;M000238;2000MM06;2,7;;None
973;M000239;2000MM06;2,3;;None
974;M000238;2000MM07;2,8;;None
975;M000239;2000MM07;2,4;;None
976;M000238;2000MM08;2,5;;None
977;M000239;2000MM08;2,1;;None
978;M000238;2000MM09;2,9;;None
979;M000239;2000MM09;2,6;;None
980;M000238;2000MM10;3,1;;None
981;M000239;2000MM10;2,9;;None
982;M000238;2000MM11;3;;None
983;M000239;2000MM11;2,8;;None
984;M000238;2000MM12;2,9;;None
985;M000239;2000MM12;2,5;;None
986;M000238;2000JJ00;2,6;;None
987;M000239;2000JJ00;2,2;;None
988;M000238;2001MM01;4,2;;None
989;M000239;2001MM01;3,3;;None
990;M000238;2001MM02;4,5;;None
991;M000239;2001MM02;3,3;;None
992;M000238;2001MM03;4,6;;None
993;M000239;2001MM03;3,5;;None
994;M000238;2001MM04;4,9;;None
995;M000239;2001MM04;3,9;;None
996;M000238;2001MM05;4,9;;None
997;M000239;2001MM05;3,9;;None
998;M000238;2001MM06;4,5;;None
999;M000239;2001MM06;3,5;;None
1000;M000238;2001MM07;4,6;;None
1001;M000239;2001MM07;3,7;;None
1002;M000238;2001MM08;4,7;;None
1003;M000239;2001MM08;3,7;;None
1004;M000238;2001MM09;4,7;;None
1005;M000239;2001MM09;3,7;;None
1006;M000238;2001MM10;4,3;;None
1007;M000239;2001MM10;3,3;;None
1008;M000238;2001MM11;4,2;;None
1009;M000239;2001MM11;3,1;;None
1010;M000238;2001MM12;4,4;;None
1011;M000239;2001MM12;3,4;;None
1012;M000238;2001JJ00;4,5;;None
1013;M000239;2001JJ00;3,6;;None
1014;M000238;2002MM01;4;;None
1015;M000239;2002MM01;4,1;;None
1016;M000238;2002MM02;3,8;;None
1017;M000239;2002MM02;3,9;;None
1018;M000238;2002MM03;3,6;;None
1019;M000239;2002MM03;3,7;;None
1020;M000238;2002MM04;3,6;;None
1021;M000239;2002MM04;3,6;;None
1022;M000238;2002MM05;3,3;;None
1023;M000239;2002MM05;3,3;;None
1024;M000238;2002MM06;3,4;;None
1025;M000239;2002MM06;3,4;;None
1026;M000238;2002MM07;3,4;;None
1027;M000239;2002MM07;3,4;;None
1028;M000238;2002MM08;3,3;;None
1029;M000239;2002MM08;3,3;;None
1030;M000238;2002MM09;3,3;;None
1031;M000239;2002MM09;3,3;;None
1032;M000238;2002MM10;3,2;;None
1033;M000239;2002MM10;3,1;;None
1034;M000238;2002MM11;3,1;;None
1035;M000239;2002MM11;3,2;;None
1036;M000238;2002MM12;3,1;;None
1037;M000239;2002MM12;3,1;;None
1038;M000238;2002JJ00;3,4;;None
1039;M000239;2002JJ00;3,4;;None
1040;M000238;2003MM01;2,4;;None
1041;M000239;2003MM01;2,1;;None
1042;M000238;2003MM02;2,4;;None
1043;M000239;2003MM02;2,1;;None
1044;M000238;2003MM03;2,4;;None
1045;M000239;2003MM03;2,3;;None
1046;M000238;2003MM04;2,1;;None
1047;M000239;2003MM04;1,9;;None
1048;M000238;2003MM05;2;;None
1049;M000239;2003MM05;1,8;;None
1050;M000238;2003MM06;2;;None
1051;M000239;2003MM06;1,6;;None
1052;M000238;2003MM07;2,1;;None
1053;M000239;2003MM07;2;;None
1054;M000238;2003MM08;2,1;;None
1055;M000239;2003MM08;2;;None
1056;M000238;2003MM09;2;;None
1057;M000239;2003MM09;1,9;;None
1058;M000238;2003MM10;2;;None
1059;M000239;2003MM10;1,8;;None
1060;M000238;2003MM11;2;;None
1061;M000239;2003MM11;1,8;;None
1062;M000238;2003MM12;1,7;;None
1063;M000239;2003MM12;1,5;;None
1064;M000238;2003JJ00;2,1;;None
1065;M000239;2003JJ00;1,9;;None
1066;M000238;2004MM01;1,3;;None
1067;M000239;2004MM01;1,2;;None
1068;M000238;2004MM02;1,2;;None
1069;M000239;2004MM02;1;;None
1070;M000238;2004MM03;1,1;;None
1071;M000239;2004MM03;0,8;;None
1072;M000238;2004MM04;1,4;;None
1073;M000239;2004MM04;0,9;;None
1074;M000238;2004MM05;1,5;;None
1075;M000239;2004MM05;1,2;;None
1076;M000238;2004MM06;1,4;;None
1077;M000239;2004MM06;1;;None
1078;M000238;2004MM07;1,1;;None
1079;M000239;2004MM07;0,6;;None
1080;M000238;2004MM08;1,1;;None
1081;M000239;2004MM08;0,6;;None
1082;M000238;2004MM09;1;;None
1083;M000239;2004MM09;0,5;;None
1084;M000238;2004MM10;1,4;;None
1085;M000239;2004MM10;0,8;;None
1086;M000238;2004MM11;1,3;;None
1087;M000239;2004MM11;0,8;;None
1088;M000238;2004MM12;1,2;;None
1089;M000239;2004MM12;0,6;;None
1090;M000238;2004JJ00;1,2;;None
1091;M000239;2004JJ00;0,9;;None
1092;M000238;2005MM01;1,5;;None
1093;M000239;2005MM01;1;;None
1094;M000238;2005MM02;1,6;;None
1095;M000239;2005MM02;1,2;;None
1096;M000238;2005MM03;1,8;;None
1097;M000239;2005MM03;1,4;;None
1098;M000238;2005MM04;1,5;;None
1099;M000239;2005MM04;1,3;;None
1100;M000238;2005MM05;1,3;;None
1101;M000239;2005MM05;1;;None
1102;M000238;2005MM06;1,6;;None
1103;M000239;2005MM06;1,4;;None
1104;M000238;2005MM07;1,6;;None
1105;M000239;2005MM07;1,4;;None
1106;M000238;2005MM08;1,8;;None
1107;M000239;2005MM08;1,6;;None
1108;M000238;2005MM09;1,8;;None
1109;M000239;2005MM09;1,5;;None
1110;M000238;2005MM10;1,6;;None
1111;M000239;2005MM10;1,5;;None
1112;M000238;2005MM11;1,8;;None
1113;M000239;2005MM11;1,5;;None
1114;M000238;2005MM12;2;;None
1115;M000239;2005MM12;1,8;;None
1116;M000238;2005JJ00;1,7;;None
1117;M000239;2005JJ00;1,4;;None
1118;M000238;2006MM01;1,3;;None
1119;M000239;2006MM01;1,6;;None
1120;M000238;2006MM02;1,1;;None
1121;M000239;2006MM02;1,5;;None
1122;M000238;2006MM03;1;;None
1123;M000239;2006MM03;1,4;;None
1124;M000238;2006MM04;1,2;;None
1125;M000239;2006MM04;1,7;;None
1126;M000238;2006MM05;1,2;;None
1127;M000239;2006MM05;1,8;;None
1128;M000238;2006MM06;1,3;;None
1129;M000239;2006MM06;1,7;;None
1130;M000238;2006MM07;1,3;;None
1131;M000239;2006MM07;1,7;;None
1132;M000238;2006MM08;1,4;;None
1133;M000239;2006MM08;1,8;;None
1134;M000238;2006MM09;1,1;;None
1135;M000239;2006MM09;1,4;;None
1136;M000238;2006MM10;0,9;;None
1137;M000239;2006MM10;1,3;;None
1138;M000238;2006MM11;1;;None
1139;M000239;2006MM11;1,3;;None
1140;M000238;2006MM12;1,1;;None
1141;M000239;2006MM12;1,5;;None
1142;M000238;2006JJ00;1,1;;None
1143;M000239;2006JJ00;1,5;;None
1144;M000238;2007MM01;1,4;;None
1145;M000239;2007MM01;1,2;;None
1146;M000238;2007MM02;1,5;;None
1147;M000239;2007MM02;1,3;;None
1148;M000238;2007MM03;1,8;;None
1149;M000239;2007MM03;1,6;;None
1150;M000238;2007MM04;1,8;;None
1151;M000239;2007MM04;1,6;;None
1152;M000238;2007MM05;1,8;;None
1153;M000239;2007MM05;1,6;;None
1154;M000238;2007MM06;1,7;;None
1155;M000239;2007MM06;1,6;;None
1156;M000238;2007MM07;1,5;;None
1157;M000239;2007MM07;1,3;;None
1158;M000238;2007MM08;1,1;;None
1159;M000239;2007MM08;1;;None
1160;M000238;2007MM09;1,3;;None
1161;M000239;2007MM09;1,2;;None
1162;M000238;2007MM10;1,6;;None
1163;M000239;2007MM10;1,5;;None
1164;M000238;2007MM11;1,9;;None
1165;M000239;2007MM11;1,8;;None
1166;M000238;2007MM12;1,9;;None
1167;M000239;2007MM12;1,7;;None
1168;M000238;2007JJ00;1,6;;None
1169;M000239;2007JJ00;1,5;;None
1170;M000238;2008MM01;2;;None
1171;M000239;2008MM01;1,9;;None
1172;M000238;2008MM02;2,2;;None
1173;M000239;2008MM02;2,1;;None
1174;M000238;2008MM03;2,2;;None
1175;M000239;2008MM03;2;;None
1176;M000238;2008MM04;2;;None
1177;M000239;2008MM04;1,9;;None
1178;M000238;2008MM05;2,3;;None
1179;M000239;2008MM05;2,1;;None
1180;M000238;2008MM06;2,6;;None
1181;M000239;2008MM06;2,4;;None
1182;M000238;2008MM07;3,2;;None
1183;M000239;2008MM07;2,9;;None
1184;M000238;2008MM08;3,2;;None
1185;M000239;2008MM08;3;;None
1186;M000238;2008MM09;3,1;;None
1187;M000239;2008MM09;2,8;;None
1188;M000238;2008MM10;2,8;;None
1189;M000239;2008MM10;2,5;;None
1190;M000238;2008MM11;2,3;;None
1191;M000239;2008MM11;1,8;;None
1192;M000238;2008MM12;1,9;;None
1193;M000239;2008MM12;1,5;;None
1194;M000238;2008JJ00;2,5;;None
1195;M000239;2008JJ00;2,2;;None
1196;M000238;2009MM01;1,9;;None
1197;M000239;2009MM01;1,4;;None
1198;M000238;2009MM02;2;;None
1199;M000239;2009MM02;1,5;;None
1200;M000238;2009MM03;2;;None
1201;M000239;2009MM03;1,5;;None
1202;M000238;2009MM04;1,8;;None
1203;M000239;2009MM04;1,4;;None
1204;M000238;2009MM05;1,6;;None
1205;M000239;2009MM05;1,2;;None
1206;M000238;2009MM06;1,4;;None
1207;M000239;2009MM06;1,1;;None
1208;M000238;2009MM07;0,2;;None
1209;M000239;2009MM07;-0,1;;None
1210;M000238;2009MM08;0,3;;None
1211;M000239;2009MM08;0;;None
1212;M000238;2009MM09;0,4;;None
1213;M000239;2009MM09;0,1;;None
1214;M000238;2009MM10;0,7;;None
1215;M000239;2009MM10;0,4;;None
1216;M000238;2009MM11;1;;None
1217;M000239;2009MM11;0,8;;None
1218;M000238;2009MM12;1,1;;None
1219;M000239;2009MM12;1;;None
1220;M000238;2009JJ00;1,2;;None
1221;M000239;2009JJ00;0,9;;None
1222;M000238;2010MM01;0,8;;None
1223;M000239;2010MM01;0,7;;None
1224;M000238;2010MM02;0,8;;None
1225;M000239;2010MM02;0,7;;None
1226;M000238;2010MM03;1;;None
1227;M000239;2010MM03;0,8;;None
1228;M000238;2010MM04;1,1;;None
1229;M000239;2010MM04;0,9;;None
1230;M000238;2010MM05;1;;None
1231;M000239;2010MM05;0,7;;None
1232;M000238;2010MM06;0,8;;None
1233;M000239;2010MM06;0,6;;None
1234;M000238;2010MM07;1,6;;None
1235;M000239;2010MM07;1,4;;None
1236;M000238;2010MM08;1,5;;None
1237;M000239;2010MM08;1,3;;None
1238;M000238;2010MM09;1,6;;None
1239;M000239;2010MM09;1,4;;None
1240;M000238;2010MM10;1,6;;None
1241;M000239;2010MM10;1,4;;None
1242;M000238;2010MM11;1,6;;None
1243;M000239;2010MM11;1,4;;None
1244;M000238;2010MM12;1,9;;None
1245;M000239;2010MM12;1,7;;None
1246;M000238;2010JJ00;1,3;;None
1247;M000239;2010JJ00;1,1;;None
1248;M000238;2011MM01;2;;None
1249;M000239;2011MM01;1,9;;None
1250;M000238;2011MM02;1,9;;None
1251;M000239;2011MM02;1,9;;None
1252;M000238;2011MM03;2;;None
1253;M000239;2011MM03;1,9;;None
1254;M000238;2011MM04;2,1;;None
1255;M000239;2011MM04;2;;None
1256;M000238;2011MM05;2,3;;None
1257;M000239;2011MM05;2,2;;None
1258;M000238;2011MM06;2,3;;None
1259;M000239;2011MM06;2,1;;None
1260;M000238;2011MM07;2,6;;None
1261;M000239;2011MM07;2,4;;None
1262;M000238;2011MM08;2,6;;None
1263;M000239;2011MM08;2,4;;None
1264;M000238;2011MM09;2,7;;None
1265;M000239;2011MM09;2,5;;None
1266;M000238;2011MM10;2,6;;None
1267;M000239;2011MM10;2,3;;None
1268;M000238;2011MM11;2,6;;None
1269;M000239;2011MM11;2,3;;None
1270;M000238;2011MM12;2,4;;None
1271;M000239;2011MM12;2,1;;None
1272;M000238;2011JJ00;2,3;;None
1273;M000239;2011JJ00;2,2;;None
1274;M000238;2012MM01;2,5;;None
1275;M000239;2012MM01;2,2;;None
1276;M000238;2012MM02;2,5;;None
1277;M000239;2012MM02;2,2;;None
1278;M000238;2012MM03;2,5;;None
1279;M000239;2012MM03;2,2;;None
1280;M000238;2012MM04;2,4;;None
1281;M000239;2012MM04;2,1;;None
1282;M000238;2012MM05;2,1;;None
1283;M000239;2012MM05;1,9;;None
1284;M000238;2012MM06;2,1;;None
1285;M000239;2012MM06;2;;None
1286;M000238;2012MM07;2,3;;None
1287;M000239;2012MM07;2,1;;None
1288;M000238;2012MM08;2,3;;None
1289;M000239;2012MM08;2,1;;None
1290;M000238;2012MM09;2,3;;None
1291;M000239;2012MM09;2,1;;None
1292;M000238;2012MM10;2,9;;None
1293;M000239;2012MM10;2;;None
1294;M000238;2012MM11;2,8;;None
1295;M000239;2012MM11;1,9;;None
1296;M000238;2012MM12;2,9;;None
1297;M000239;2012MM12;2;;None
1298;M000238;2012JJ00;2,5;;None
1299;M000239;2012JJ00;2,1;;None
1300;M000238;2013MM01;3;;None
1301;M000239;2013MM01;1,6;;None
1302;M000238;2013MM02;3;;None
1303;M000239;2013MM02;1,6;;None
1304;M000238;2013MM03;2,9;;None
1305;M000239;2013MM03;1,5;;None
1306;M000238;2013MM04;2,6;;None
1307;M000239;2013MM04;1,2;;None
1308;M000238;2013MM05;2,8;;None
1309;M000239;2013MM05;1,3;;None
1310;M000238;2013MM06;2,9;;None
1311;M000239;2013MM06;1,4;;None
1312;M000238;2013MM07;3,1;;None
1313;M000239;2013MM07;1,7;;None
1314;M000238;2013MM08;2,8;;None
1315;M000239;2013MM08;1,4;;None
1316;M000238;2013MM09;2,4;;None
1317;M000239;2013MM09;1,1;;None
1318;M000238;2013MM10;1,6;;None
1319;M000239;2013MM10;0,9;;None
1320;M000238;2013MM11;1,5;;None
1321;M000239;2013MM11;0,8;;None
1322;M000238;2013MM12;1,7;;None
1323;M000239;2013MM12;1;;None
1324;M000238;2013JJ00;2,5;;None
1325;M000239;2013JJ00;1,3;;None
1326;M000238;2014MM01;1,4;;None
1327;M000239;2014MM01;1;;None
1328;M000238;2014MM02;1,1;;None
1329;M000239;2014MM02;0,7;;None
1330;M000238;2014MM03;0,8;;None
1331;M000239;2014MM03;0,4;;None
1332;M000238;2014MM04;1,2;;None
1333;M000239;2014MM04;0,8;;None
1334;M000238;2014MM05;0,8;;None
1335;M000239;2014MM05;0,5;;None
1336;M000238;2014MM06;0,9;;None
1337;M000239;2014MM06;0,6;;None
1338;M000238;2014MM07;0,9;;None
1339;M000239;2014MM07;0,6;;None
1340;M000238;2014MM08;1;;None
1341;M000239;2014MM08;0,6;;None
1342;M000238;2014MM09;0,9;;None
1343;M000239;2014MM09;0,6;;None
1344;M000238;2014MM10;1,1;;None
1345;M000239;2014MM10;0,7;;None
1346;M000238;2014MM11;1;;None
1347;M000239;2014MM11;0,6;;None
1348;M000238;2014MM12;0,7;;None
1349;M000239;2014MM12;0,4;;None
1350;M000238;2014JJ00;1;;None
1351;M000239;2014JJ00;0,6;;None
1352;M000238;2015MM01;0;;None
1353;M000239;2015MM01;-0,1;;None
1354;M000238;2015MM02;0,2;;None
1355;M000239;2015MM02;0;;None
1356;M000238;2015MM03;0,4;;None
1357;M000239;2015MM03;0,2;;None
1358;M000238;2015MM04;0,6;;None
1359;M000239;2015MM04;0,4;;None
1360;M000238;2015MM05;1,1;;None
1361;M000239;2015MM05;1;;None
1362;M000238;2015MM06;1;;None
1363;M000239;2015MM06;0,8;;None
1364;M000238;2015MM07;1;;None
1365;M000239;2015MM07;0,8;;None
1366;M000238;2015MM08;0,8;;None
1367;M000239;2015MM08;0,6;;None
1368;M000238;2015MM09;0,6;;None
1369;M000239;2015MM09;0,4;;None
1370;M000238;2015MM10;0,6;;None
1371;M000239;2015MM10;0,4;;None
1372;M000238;2015MM11;0,7;;None
1373;M000239;2015MM11;0,4;;None
1374;M000238;2015MM12;0,7;;None
1375;M000239;2015MM12;0,5;;None
1376;M000238;2015JJ00;0,6;;None
1377;M000239;2015JJ00;0,5;;None
1378;M000238;2016MM01;0,6;;None
1379;M000239;2016MM01;0,5;;None
1380;M000238;2016MM02;0,6;;None
1381;M000239;2016MM02;0,6;;None
1382;M000238;2016MM03;0,6;;None
1383;M000239;2016MM03;0,5;;None
1384;M000238;2016MM04;0;;None
1385;M000239;2016MM04;-0,1;;None
1386;M000238;2016MM05;0;;None
1387;M000239;2016MM05;-0,1;;None
1388;M000238;2016MM06;0;;None
1389;M000239;2016MM06;0;;None
1390;M000238;2016MM07;-0,2;;None
1391;M000239;2016MM07;-0,3;;None
1392;M000238;2016MM08;0,2;;None
1393;M000239;2016MM08;0,1;;None
1394;M000238;2016MM09;0,1;;None
1395;M000239;2016MM09;0;;None
1396;M000238;2016MM10;0,4;;None
1397;M000239;2016MM10;0,4;;None
1398;M000238;2016MM11;0,6;;None
1399;M000239;2016MM11;0,6;;None
1400;M000238;2016MM12;1;;None
1401;M000239;2016MM12;0,9;;None
1402;M000238;2016JJ00;0,3;;None
1403;M000239;2016JJ00;0,3;;None
1404;M000238;2017MM01;1,7;;None
1405;M000239;2017MM01;1,6;;None
1406;M000238;2017MM02;1,8;;None
1407;M000239;2017MM02;1,7;;None
1408;M000238;2017MM03;1,1;;None
1409;M000239;2017MM03;1,1;;None
1410;M000238;2017MM04;1,6;;None
1411;M000239;2017MM04;1,6;;None
1412;M000238;2017MM05;1,1;;None
1413;M000239;2017MM05;1;;None
1414;M000238;2017MM06;1,1;;None
1415;M000239;2017MM06;1,1;;None
1416;M000238;2017MM07;1,3;;None
1417;M000239;2017MM07;1,4;;None
1418;M000238;2017MM08;1,4;;None
1419;M000239;2017MM08;1,4;;None
1420;M000238;2017MM09;1,5;;None
1421;M000239;2017MM09;1,5;;None
1422;M000238;2017MM10;1,3;;None
1423;M000239;2017MM10;1,3;;None
1424;M000238;2017MM11;1,5;;None
1425;M000239;2017MM11;1,5;;None
1426;M000238;2017MM12;1,3;;None
1427;M000239;2017MM12;1,2;;None
1428;M000238;2017JJ00;1,4;;None
1429;M000239;2017JJ00;1,4;;None
1430;M000238;2018MM01;1,5;;None
1431;M000239;2018MM01;1,3;;None
1432;M000238;2018MM02;1,2;;None
1433;M000239;2018MM02;1;;None
1434;M000238;2018MM03;1;;None
1435;M000239;2018MM03;0,8;;None
1436;M000238;2018MM04;1,1;;None
1437;M000239;2018MM04;0,8;;None
1438;M000238;2018MM05;1,7;;None
1439;M000239;2018MM05;1,4;;None
1440;M000238;2018MM06;1,7;;None
1441;M000239;2018MM06;1,3;;None
1442;M000238;2018MM07;2,1;;None
1443;M000239;2018MM07;1,7;;None
