Id;Measure;Perioden;Value;StringValue;ValueAttribute
145;M000239;1968MM08;;;Impossible
146;M000238;1968MM09;3,3;;None
147;M000239;1968MM09;;;Impossible
148;M000238;1968MM10;3,6;;None
149;M000239;1968MM10;;;Impossible
150;M000238;1968MM11;3,8;;None
151;M000239;1968MM11;;;Impossible
152;M000238;1968MM12;4,2;;None
153;M000239;1968MM12;;;Impossible
154;M000238;1968JJ00;3,7;;None
155;M000239;1968JJ00;;;Impossible
156;M000238;1969MM01;7,3;;None
157;M000239;1969MM01;;;Impossible
158;M000238;1969MM02;7,6;;None
159;M000239;1969MM02;;;Impossible
160;M000238;1969MM03;7,9;;None
161;M000239;1969MM03;;;Impossible
162;M000238;1969MM04;8,3;;None
163;M000239;1969MM04;;;Impossible
164;M000238;1969MM05;8,1;;None
165;M000239;1969MM05;;;Impossible
166;M000238;1969MM06;7,9;;None
167;M000239;1969MM06;;;Impossible
168;M000238;1969MM07;7,3;;None
169;M000239;1969MM07;;;Impossible
170;M000238;1969MM08;6,9;;None
171;M000239;1969MM08;;;Impossible
172;M000238;1969MM09;7,2;;None
173;M000239;1969MM09;;;Impossible
174;M000238;1969MM10;7,2;;None
175;M000239;1969MM10;;;Impossible
176;M000238;1969MM11;6,9;;None
177;M000239;1969MM11;;;Impossible
178;M000238;1969MM12;6,5;;None
179;M000239;1969MM12;;;Impossible
180;M000238;1969JJ00;7,5;;None
181;M000239;1969JJ00;;;Impossible
182;M000238;1970MM01;3,3;;None
183;M000239;1970MM01;;;Impossible
184;M000238;1970MM02;3,4;;None
185;M000239;1970MM02;;;Impossible
186;M000238;1970MM03;3,6;;None
187;M000239;1970MM03;;;Impossible
188;M000238;1970MM04;3,2;;None
189;M000239;1970MM04;;;Impossible
190;M000238;1970MM05;3,3;;None
191;M000239;1970MM05;;;Impossible
192;M000238;1970MM06;3,8;;None
193;M000239;1970MM06;;;Impossible
194;M000238;1970MM07;5;;None
195;M000239;1970MM07;;;Impossible
196;M000238;1970MM08;5,4;;None
197;M000239;1970MM08;;;Impossible
198;M000238;1970MM09;5,6;;None
199;M000239;1970MM09;;;Impossible
